"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac1",0,-0.270671803082749,"Peripherals","Bac1","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac1","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac2",0,0.713589299036337,"Peripherals","Bac2","Prokaryote","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","StreptophytaOR","StreptophytaOR","_","Bac2","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac5",0,0.959654574566109,"Peripherals","Bac5","Prokaryote","Bacteria","_","_","_","_","_","_","Bac5","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac8",0,0.447213595499958,"Peripherals","Bac8","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac8","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac9",0,-0.670820393249937,"Peripherals","Bac9","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptosporangiaceae","Nonomuraea","_","Bac9","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac10",0,-0.670820393249937,"Peripherals","Bac10","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac10","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac29",0,NA,NA,"Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac6",0,0.713589299036337,"Peripherals","Bac6","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","_","Bac6","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac44",1.11022302462516e-16,1.69785040115542,"Peripherals","Bac44","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buchnera","_","Bac44","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac16",0,1.13902636263792,"Peripherals","Bac16","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac16","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac4",1.11022302462516e-16,1.53294952747323,"Peripherals","Bac4","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","_","Bac4","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac47",0,-1.00886762967206,"Peripherals","Bac47","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Leclercia","_","Bac47","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac53",0.0739644970414202,0.601789065452208,"Peripherals","Bac53","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","_","Bac53","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac104",0,1.04948681310697,"Peripherals","Bac104","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","MicrobacteriaceaeFA","_","Bac104","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac110",0,1.13902636263792,"Peripherals","Bac110","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac110","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac12",0,-0.845765256536956,"Peripherals","Bac12","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac12","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"crossBF"
"Bac41",0,NA,NA,"Bac41","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micromonosporaceae","MicromonosporaceaeFA","_","Bac41","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"crossBF"
